market,symbol,earliest_date,available_intervals
cm,SANDUSD_PERP,2021-11-10,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,SOLUSD_250627,2024-12-27,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,SOLUSD_250926,2025-03-28,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,SOLUSD_PERP,2021-09-02,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,SUIUSD_PERP,2024-09-18,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,THETAUSD_PERP,2021-04-14,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,TRXUSD_PERP,2020-09-23,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,UNIUSD_PERP,2021-04-13,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,VETUSD_PERP,2022-03-30,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,WIFUSD_PERP,2024-07-23,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,WLDUSD_PERP,2024-10-02,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,XLMUSD_PERP,2021-04-16,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,XRPUSD_250627,2024-12-27,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,XRPUSD_250926,2025-03-28,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,XRPUSD_PERP,2020-09-23,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,XTZUSD_PERP,2022-02-14,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,ZILUSD_PERP,2022-04-07,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
